Stage	Description	Sort_by	Putative_cell_type	IDs
E10.5D_1_01	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_02	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_03	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_04	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_05	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_06	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_07	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_08	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_09	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_10	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_11	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_12	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_13	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_15	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_1_16	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_01	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_02	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_04	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_05	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_07	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_08	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_09	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_10	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_11	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_12	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_13	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_14	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_15	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_16	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_17	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_19	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_20	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_21	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_2_22	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_01	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_02	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_03	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_04	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_05	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_06	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_07	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_08	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_09	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_10	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
E10.5D_3_11	E10.5	P1_gate	DLK	hepatoblast/hepatocyte	0
