cellID	cluster	color
B1_cell1	1	#FF0000FF
B1_cell2	4	#0066FFFF
B1_cell3	4	#0066FFFF
B1_cell4	2	#CCFF00FF
B1_cell5	2	#CCFF00FF
B1_cell6	3	#00FF66FF
B1_cell7	3	#00FF66FF
B1_cell8	3	#00FF66FF
B1_cell9	2	#CCFF00FF
B1_cell10	5	#CC00FFFF
B1_cell11	3	#00FF66FF
B1_cell12	2	#CCFF00FF
B1_cell13	3	#00FF66FF
B1_cell14	4	#0066FFFF
B1_cell15	2	#CCFF00FF
B1_cell16	4	#0066FFFF
B1_cell17	4	#0066FFFF
B1_cell18	3	#00FF66FF
B1_cell19	2	#CCFF00FF
B1_cell20	4	#0066FFFF
B1_cell21	3	#00FF66FF
B1_cell22	4	#0066FFFF
B1_cell23	1	#FF0000FF
B1_cell24	2	#CCFF00FF
B1_cell25	3	#00FF66FF
B1_cell26	2	#CCFF00FF
B1_cell27	2	#CCFF00FF
B1_cell28	4	#0066FFFF
B1_cell29	4	#0066FFFF
B1_cell30	2	#CCFF00FF
B1_cell31	4	#0066FFFF
B1_cell32	2	#CCFF00FF
B1_cell33	3	#00FF66FF
B1_cell34	4	#0066FFFF
B1_cell35	1	#FF0000FF
B1_cell36	2	#CCFF00FF
B1_cell37	2	#CCFF00FF
B1_cell38	4	#0066FFFF
B1_cell39	3	#00FF66FF
B1_cell40	3	#00FF66FF
B1_cell41	3	#00FF66FF
B1_cell42	3	#00FF66FF
B1_cell43	2	#CCFF00FF
B1_cell44	2	#CCFF00FF
B1_cell45	4	#0066FFFF
B1_cell46	4	#0066FFFF
B1_cell47	4	#0066FFFF
B1_cell48	4	#0066FFFF
B1_cell49	2	#CCFF00FF
B1_cell50	3	#00FF66FF
B1_cell51	3	#00FF66FF
B1_cell52	4	#0066FFFF
B1_cell53	3	#00FF66FF
B1_cell54	2	#CCFF00FF
B1_cell55	2	#CCFF00FF
B1_cell56	3	#00FF66FF
B1_cell57	1	#FF0000FF
B1_cell58	2	#CCFF00FF
B1_cell59	1	#FF0000FF
B1_cell60	2	#CCFF00FF
B1_cell61	4	#0066FFFF
B1_cell62	3	#00FF66FF
B1_cell63	4	#0066FFFF
B1_cell64	4	#0066FFFF
B1_cell65	2	#CCFF00FF
B1_cell66	2	#CCFF00FF
B1_cell67	2	#CCFF00FF
B1_cell68	1	#FF0000FF
B1_cell69	3	#00FF66FF
B1_cell70	1	#FF0000FF
B1_cell71	4	#0066FFFF
B1_cell72	4	#0066FFFF
B1_cell73	5	#CC00FFFF
B1_cell74	3	#00FF66FF
B1_cell75	3	#00FF66FF
B1_cell76	2	#CCFF00FF
B1_cell77	2	#CCFF00FF
B1_cell78	4	#0066FFFF
B1_cell79	1	#FF0000FF
B1_cell80	3	#00FF66FF
B1_cell81	5	#CC00FFFF
B1_cell82	3	#00FF66FF
B1_cell83	5	#CC00FFFF
B1_cell84	2	#CCFF00FF
B1_cell85	2	#CCFF00FF
B1_cell86	2	#CCFF00FF
B1_cell87	3	#00FF66FF
B1_cell88	3	#00FF66FF
B1_cell89	4	#0066FFFF
B1_cell90	5	#CC00FFFF
B1_cell91	4	#0066FFFF
B1_cell92	2	#CCFF00FF
B1_cell93	3	#00FF66FF
B1_cell94	2	#CCFF00FF
B1_cell95	2	#CCFF00FF
B1_cell96	3	#00FF66FF
B1_cell97	1	#FF0000FF
B1_cell98	5	#CC00FFFF
B1_cell99	2	#CCFF00FF
B1_cell100	3	#00FF66FF
B1_cell101	2	#CCFF00FF
B1_cell102	1	#FF0000FF
B1_cell103	2	#CCFF00FF
B1_cell104	3	#00FF66FF
B1_cell105	4	#0066FFFF
B1_cell106	2	#CCFF00FF
B1_cell107	2	#CCFF00FF
B1_cell108	3	#00FF66FF
B1_cell109	1	#FF0000FF
B1_cell110	3	#00FF66FF
B1_cell111	3	#00FF66FF
B1_cell112	2	#CCFF00FF
B1_cell113	1	#FF0000FF
B1_cell114	2	#CCFF00FF
B1_cell115	3	#00FF66FF
B1_cell116	2	#CCFF00FF
B1_cell117	1	#FF0000FF
B1_cell118	2	#CCFF00FF
B1_cell119	2	#CCFF00FF
B1_cell120	1	#FF0000FF
